valore,PRO_COM_T
51863741.170043945,068024
51604842.673706055,038003
50614133.506347656,008055
50149287.73590088,071020
48988312.68664551,082006
48842982.13533569,060019
48687992.99194336,058110
48233046.790649414,087004
47903387.767333984,097042
47497866.48449707,039010
47202661.142456055,036005
46836690.68701172,007003
46657963.86694336,093033
45648437.79721069,009056
45287772.263916016,061057
44816245.31140137,015209
44677734.342163086,065154
44658731.420288086,045003
44241938.181884766,015118
44141475.240234375,061075
43945574.77856445,063064
43885960.12365723,058009
43678213.83654785,081011
43612128.89819336,088012
43312975.17211914,063084
42627361.72705078,072021
42464269.71166992,012026
42114504.71936035,072030
42074846.529052734,061048
41727380.94897461,058065
41629232.2611084,058047
41456537.067993164,083084
41382886.87878418,096004
41057700.020996094,059001
40756617.63366699,077016
40266186.99499512,090070
39918632.20996094,080036
39897348.857788086,072029
39603388.67199707,109034
39594066.31286621,069099
39220078.62145996,087011
39182691.099731445,073013
38806915.97766113,058007
38691603.872802734,013075
38624183.139160156,072011
38227097.96813965,061049
38219628.67126465,014061
37843494.39678955,110004
37661213.009277344,058032
37597115.796936035,071051
37297664.02246094,054013
37157196.16796875,068027
36812286.497924805,110003
36697476.298706055,038006
36632530.173828125,072017
36515279.82116699,069058
36411723.197143555,058111
36406656.62133789,063067
36270636.98413086,089013
36191549.62225342,098031
36187484.505615234,016219
35977728.9152832,011027
35861881.62573242,072032
35727805.48840332,065037
35410896.74291992,011015
35202394.396728516,015182
35143128.34411621,087027
35119793.68457031,054018
34974895.70202637,048052
34816413.438964844,086016
34796931.96118164,063057
34708278.26428223,083097
34568471.386657715,072038
34547024.76074219,065078
34464773.205322266,037011
34333774.89550781,081012
34276759.556518555,103072
34259919.91040039,084033
33832806.76586914,046033
33774130.05963135,086002
33704459.5982666,088006
33595816.69262695,017077
33570435.75488281,061083
33511928.513916016,012119
33394534.84020996,001120
33258154.470214844,043007
33067832.133544922,063079
32908485.00024414,042021
32858426.478393555,092011
32787620.415039062,072037
32749999.9921875,004165
32735006.345611572,001125
32251384.530395508,111009
32250213.64099121,050008
31898740.188964844,092051
31808257.310302734,086014
31779331.90185547,036040
31754381.65563965,031007
31609747.64123535,072019
31593440.98815918,058120
31535770.28112793,016091
31376696.96081543,063052
31355739.417419434,066006
31300789.73376465,072046
30851990.66015625,048014
30697101.907836914,094052
30346005.880615234,076066
30270877.625854492,051013
30264494.43322754,034014
30247329.89013672,058072
30111392.518554688,087006
29983438.399902344,072023
29787850.037719727,065099
29553311.294311523,111035
29496101.74157715,063017
29346438.854614258,055023
29330172.932373047,025021
29159318.694458008,016207
29146244.79638672,023007
29076730.567504883,038019
29072405.161132812,001191
28825327.892456055,037057
28420562.236206055,030043
28417783.090820312,090058
28407020.932861328,012042
28297604.251098633,065067
28262059.979614258,025006
27925917.17236328,080025
27874346.050048828,081006
27613105.89111328,001219
27552206.22680664,092090
27518094.51904297,063037
27485194.65979004,075059
27467669.209106445,009006
27326779.21533203,073003
27319071.174194336,084011
27311256.476623535,072020
27284862.744750977,054030
27135966.37145996,082027
26903210.508911133,082049
26679847.649291992,037031
26644097.335205078,048004
26444349.26123047,017092
26408285.077575684,073015
