Programma;Missione;Descrizione Missione;Componente;Descrizione Componente;ID Misura;Codice Univoco Misura;Descrizione Misura;ID Submisura;Codice CID;Codice Univoco submisura;Descrizione Submisura;Amministrazione Titolare;Importo Totale;Campo d’intervento Clima;Coefficiente TAG Clima;Campo d’intervento Digitale;Coefficiente TAG Digitale;Importo Contribuzione al Clima;Importo Contribuzione al Digitale
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.5;M1C1I1.05;Cybersecurity;M1C1I1.5;M1C1I1.5;M1C1I1.05.00;Cybersecurity;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;623000000;021 - Trasferimento di tecnologie e cooperazione tra le imprese, i centri di ricerca e il settore dell'istruzione superiore;0;021QUINQUIES - Sviluppo e diffusione di tecnologie, misure e strutture di supporto per la cibersicurezza per gli utenti del settore pubblico e privato.;100;0;623000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.1;M1C1I1.6.1;M1C1I1.06.01;Digitalizzazione del Ministero dell'Interno;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;107000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;107000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.2;M1C1I1.6.2;M1C1I1.06.02;Digitalizzazione del Ministero della Giustizia;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;133203200;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011QUATER - Digitalizzazione dei sistemi giudiziari;100;0;133203200
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.3;M1C1I1.6.3;M1C1I1.06.03;Digitalizzazione dell'Istituto Nazionale per la Previdenza Sociale (INPS) e dell'istituto nazionale per l'assicurazione contro gli Infortuni sul Lavoro (INAIL);PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;296000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;296000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.4;M1C1I1.6.4;M1C1I1.06.04;Digitalizzazione del Ministero della Difesa;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;42500000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;42500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.5;M1C1I1.6.5;M1C1I1.06.05;Digitalizzazione del Consiglio di Stato;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;7500000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;7500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.6;M1C1I1.06;Digitalizzazione delle grandi amministrazioni centrali;M1C1I1.6.6;M1C1I1.6.6;M1C1I1.06.06;Digitalizzazione della Guardia di Finanza;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;25000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;25000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.1;M1C1I1.7.1;M1C1I1.07.01;Servizio Civile Digitale;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;60000000;108 - Sostegno allo sviluppo di competenze digitali;0;108 - Sostegno allo sviluppo di competenze digitali;100;0;60000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I1.7;M1C1I1.07;Competenze digitali di base;M1C1I1.7.2;M1C1I1.7.2;M1C1I1.07.02;Rete dei servizi di facilitazione digitale;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;135000000;108 - Sostegno allo sviluppo di competenze digitali;0;108 - Sostegno allo sviluppo di competenze digitali;100;0;135000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.1;M1C1I2.01;Portale unico del reclutamento;M1C1I2.1.1;M1C1R1.9;M1C1I2.01.01;Creazione di una piattaforma unica di reclutamento;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;11500000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.1;M1C1I2.01;Portale unico del reclutamento;M1C1I2.1.2;M1C1R1.9;M1C1I2.01.02;Procedure per l'assunzione di profili tecnici;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;9000000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.2;M1C1I2.02;Task Force digitalizzazione, monitoraggio e performance;M1C1I2.2.1;M1C1R1.9;M1C1I2.02.01;Assistenza tecnica a livello centrale e locale;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;368400000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.2;M1C1I2.02;Task Force digitalizzazione, monitoraggio e performance;M1C1I2.2.2;M1C1R1.9;M1C1I2.02.02;Semplificazione e standardizzazione delle procedure;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;4000000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.2;M1C1I2.02;Task Force digitalizzazione, monitoraggio e performance;M1C1I2.2.3;M1C1R1.9;M1C1I2.02.03;Digitalizzazione delle procedure (SUAP & SUE);PCM - DIPARTIMENTO FUNZIONE PUBBLICA;324400000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.2;M1C1I2.02;Task Force digitalizzazione, monitoraggio e performance;M1C1I2.2.4;M1C1R1.9;M1C1I2.02.04;Monitoraggio e comunicazione delle azioni di semplificazione;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;21000000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.2;M1C1I2.02;Task Force digitalizzazione, monitoraggio e performance;M1C1I2.2.5;M1C1R1.9;M1C1I2.02.05;Amministrazione pubblica orientata ai risultati;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;16400000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.3;M1C1I2.03;Competenze: Competenze e capacità amministrativa;M1C1I2.3.1;M1C1R1.9;M1C1I2.03.01;Investimenti in istruzione e formazione;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;139000000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I2.3;M1C1I2.03;Competenze: Competenze e capacità amministrativa;M1C1I2.3.2;M1C1R1.9;M1C1I2.03.02;Sviluppo delle capacità nella pianificazione, organizzazione e formazione strategica della forza lavoro;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;350900000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I3.00.01;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;907220021,5;011QUATER - Digitalizzazione dei sistemi di giustizia;0;011QUATER - Digitalizzazione dei sistemi giudiziari;100;0;907220021,5
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.1;M1C1I1.8;M1C1I3.00.01;Investimento in capitale umano per rafforzare l’Ufficio del Processo e superare le disparità tra tribunali;MINISTERO DELLA GIUSTIZIA;1360830032;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1I3;M1C1I3.00;Procedure di assunzione per i tribunali civili, penali e amministrativi;M1C1I3.2;M1C1I1.8;M1C1I3.00.02;Rafforzamento dell'Ufficio del processo per la Giustizia amministrativa;GIUST AMM.VA (CONSIGLIO DI STATO E TAR);41800000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.1;M1C1R1.01;Processo di acquisto ICT;M1C1R1.1;M1C1R1.1;M1C1R1.01.00;Processo di acquisto ICT;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.2;M1C1R1.02;Supporto alla trasformazione;M1C1R1.2.1;M1C1R1.2;M1C1R1.02.01;Ufficio Trasformazione;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;155000000;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;155000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R1.3;M1C1R1.03;Cloud first e interoperabilità;M1C1R1.3;M1C1R1.3;M1C1R1.03.00;Cloud first e interoperabilità;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;0;011 - Soluzioni TIC, servizi elettronici, applicazioni per l'amministrazione;100;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C1;Digitalizzazione, innovazione e sicurezza nella PA;M1C1R2.3;M1C1R2.03;Competenze e carriere;M1C1R2.3.1;M1C1R1.9;M1C1R2.03.01;Riforma del mercato del lavoro della PA;PCM - DIPARTIMENTO FUNZIONE PUBBLICA;24300000;143 - Rafforzamento della capacità delle autorità dello Stato membro, dei beneficiari e dei partner pertinenti;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.1;M1C2I1;M1C2I1.01.01;Credito d'imposta per i beni strumentali 4.0;MINISTERO IMPRESE E DEL MADE IN ITALY;8867960000;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e- business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);0;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e-business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);100;0;8867960000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.2;M1C2I1;M1C2I1.01.02;Credito d'imposta (immateriali non 4.0);MINISTERO IMPRESE E DEL MADE IN ITALY;1913900000;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e- business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);0;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e-business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);100;0;1913900000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.3;M1C2I1;M1C2I1.01.03;Crediti d'imposta per beni immateriali tradizionali;MINISTERO IMPRESE E DEL MADE IN ITALY;290800000;008 - Attività di ricerca e innovazione in PMI, comprese le attività in rete;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.4;M1C2I1;M1C2I1.01.04;Credito d'imposta per R&D&I;MINISTERO IMPRESE E DEL MADE IN ITALY;2008340000;008 - Attività di ricerca e innovazione in PMI, comprese le attività in rete;0;N/A;N/A;0;0
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I1.1;M1C2I1.01;Transizione 4.0;M1C2I1.1.5;M1C2I1;M1C2I1.01.05;Credito d’imposta formazione;MINISTERO IMPRESE E DEL MADE IN ITALY;300000000;108 - Sostegno allo sviluppo di competenze digitali;0;108 - Sostegno allo sviluppo di competenze digitali;100;0;300000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I2.1;M1C2I2.01;Innovazione e tecnologia della Microelettronica;M1C2I2.1;M1C2I2;M1C2I2.01.00;Innovazione e tecnologia della Microelettronica;MINISTERO DELL'ECONOMIA E DELLE FINANZE;340000000;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e- business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);0;010 - Digitalizzazione delle PMI (compreso il commercio elettronico, l'e-business e i processi aziendali in rete, i poli di innovazione digitale, i laboratori viventi, gli imprenditori del web, le start-up nel settore delle TIC e il B2B);100;0;340000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.1;M1C2I3;M1C2I3.01.01;Piano Italia a 1 Gbps;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;3863500000;051 - TIC: reti a banda larga ad altissima capacità (reti dorsali/di backhaul);0;051 - Reti a banda larga ad altissima capacità (reti dorsali/di backhaul);100;0;3863500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.2;M1C2I3;M1C2I3.01.02;Italia 5G - Corridoi 5G, Strade extraurbane (+ 5G Aree bianche);PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;2020000000;051 - TIC: reti a banda larga ad altissima capacità (reti dorsali/di backhaul);0;051 - Reti a banda larga ad altissima capacità (reti dorsali/di backhaul);100;0;2020000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.3;M1C2I3;M1C2I3.01.03;Scuola Connessa;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;261000000;051 - TIC: reti a banda larga ad altissima capacità (reti dorsali/di backhaul);0;051 - Reti a banda larga ad altissima capacità (reti dorsali/di backhaul);100;0;261000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.4;M1C2I3;M1C2I3.01.04;Sanità Connessa;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;501500000;051 - TIC: reti a banda larga ad altissima capacità (reti dorsali/di backhaul);0;051 - Reti a banda larga ad altissima capacità (reti dorsali/di backhaul);100;0;501500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I3.1;M1C2I3.01;Connessioni internet veloci (banda ultra-larga e 5G);M1C2I3.1.5;M1C2I3;M1C2I3.01.05;Collegamento isole minori;PCM - DIPARTIM. TRASFORMAZIONE DIGITALE;60500000;051 - TIC: reti a banda larga ad altissima capacità (reti dorsali/di backhaul);0;051 - Reti a banda larga ad altissima capacità (reti dorsali/di backhaul);100;0;60500000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I4.1;M1C2I4.01;Tecnologia satellitare ed economia spaziale;M1C2I4.1.1;M1C2I4;M1C2I4.01.01;SatCom;MINISTERO IMPRESE E DEL MADE IN ITALY;210000000;055 - TIC: altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless);0;055BIS - Altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless) conformemente ai criteri di riduzione delle emissioni di gas a effetto serra o di efficienza energetica.;100;0;210000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I4.1;M1C2I4.01;Tecnologia satellitare ed economia spaziale;M1C2I4.1.2;M1C2I4;M1C2I4.01.02;Osservatorio della Terra;MINISTERO IMPRESE E DEL MADE IN ITALY;797000000;055 - TIC: altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless);0;055BIS - Altre tipologie di infrastrutture TIC (compresi risorse/impianti informatici di grandi dimensioni, centri di dati, sensori e altri dispositivi wireless) conformemente ai criteri di riduzione delle emissioni di gas a effetto serra o di efficienza energetica.;100;0;797000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I4.1;M1C2I4.01;Tecnologia satellitare ed economia spaziale;M1C2I4.1.3;M1C2I4;M1C2I4.01.03;Space Factory;MINISTERO IMPRESE E DEL MADE IN ITALY;180000000;009BIS - Investimenti in attività di R&I connesse al digitale (compresi centri di ricerca di eccellenza, ricerca industriale, sviluppo sperimentale, studi di fattibilità, acquisizione di attivi fissi o immateriali per attività di R&I connesse al digitale);0;009BIS - Investimenti in attività di R&I connesse al digitale (compresi i centri di ricerca di eccellenza, la ricerca industriale, lo sviluppo sperimentale, gli studi di fattibilità, l'acquisizione di attività fisse o immateriali per attività di R&I connesse al digitale);100;0;180000000
PNRR;M1;Digitalizzazione, innovazione, competitività e cultura;M1C2;Digitalizzazione, innovazione e competitività nel sistema produttivo;M1C2I4.1;M1C2I4.01;Tecnologia satellitare ed economia spaziale;M1C2I4.1.4;M1C2I4;M1C2I4.01.04;In-Orbit Economy;MINISTERO IMPRESE E DEL MADE IN ITALY;300000000;009BIS - Investimenti in attività di R&I connesse al digitale (compresi centri di ricerca di eccellenza, ricerca industriale, sviluppo sperimentale, studi di fattibilità, acquisizione di attivi fissi o immateriali per attività di R&I connesse al digitale);0;009BIS - Investimenti in attività di R&I connesse al digitale (compresi i centri di ricerca di eccellenza, la ricerca industriale, lo sviluppo sperimentale, gli studi di fattibilità, l'acquisizione di attività fisse o immateriali per attività di R&I connesse al digitale);100;0;300000000
