Codice Univoco submisura;CUP ;codice fiscale PROGRAMMATORE;Denominazione PROGRAMMATORE;forma giuridica PROGRAMMATORE;descrizione forma giuritica PROGRAMMATORE;Codice ATECO PROGRAMMATORE ;codice fiscale  ATTUATORE;Denominazione ATTUATORE;forma giuridica ATTUATORE;descrizione forma giuritica ATTUATORE;Codice ATECO ATTUTORE;codice fiscale BENEFICIARIO;Denominazione BENEFICIARIO;forma giuridica_BENEFICIARIO;descrizione forma giuritica  BENEFICIARIO;Codice ATECO BENEFICIARIO 
M1C2I5.01.01;E31B21012420006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;04297300610;CALZATURIFICIO TOGI S.R.L.;11;Società  a responsabilità  limitata;15.20.10;04297300610;CALZATURIFICIO TOGI S.R.L.;11;Società  a responsabilità  limitata;15.20.10
M1C2I5.01.01;E51B21005320006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01894000692;TRIVERI - S.R.L.;11;Società  a responsabilità  limitata;10.31.00;01894000692;TRIVERI - S.R.L.;11;Società  a responsabilità  limitata;10.31.00
M1C2I5.01.01;E41B21013190006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;09335750965;ONLY JUICES S.R.L;11;Società  a responsabilità  limitata;46.34.10;09335750965;ONLY JUICES S.R.L;11;Società  a responsabilità  limitata;46.34.10
M1C2I5.01.01;E61B21007860006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;00209800523;ROCCA DELLE MACIE - S.P.A.  (OD, ANCHE,;10;Società  per azioni;46.34.10;00209800523;ROCCA DELLE MACIE - S.P.A.  (OD, ANCHE,;10;Società  per azioni;46.34.10
M1C2I5.01.01;E11B21013090006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;03524040924;NID SOC. COOP.;14;SocietàCooperativa a mutualità  preval.;47.91.10;03524040924;NID SOC. COOP.;14;SocietàCooperativa a mutualità  preval.;47.91.10
M1C2I5.01.01;E61B21010150006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01615550264;PARCHETTIFICIO GARBELOTTO S.R.L.;11;Società  a responsabilità  limitata;16.22.00;01615550264;PARCHETTIFICIO GARBELOTTO S.R.L.;11;Società  a responsabilità  limitata;16.22.00
M1C2I5.01.01;E41B21009570006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01699500763;3B ENERGY S.R.L.;11;Società  a responsabilità  limitata;43.21.02;01699500763;3B ENERGY S.R.L.;11;Società  a responsabilità  limitata;43.21.02
M1C2I5.01.01;E41B21013200006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01825040932;IOTTY S.R.L.;11;Società  a responsabilità  limitata;26.11.09;01825040932;IOTTY S.R.L.;11;Società  a responsabilità  limitata;26.11.09
M1C2I5.01.01;E91B21007970006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;01844680304;MININI & C. S.R.L.;11;Società  a responsabilità  limitata;22.21.00;01844680304;MININI & C. S.R.L.;11;Società  a responsabilità  limitata;22.21.00
M1C2I5.01.01;E81B21015110006;80213330584;MINISTERO DEGLI AFFARI ESTERI E DELLA CO;38;Ministero;84.21.00;02953930597;GN TURISMO S.R.L;11;Società  a responsabilità  limitata;70.22.01;02953930597;GN TURISMO S.R.L;11;Società  a responsabilità  limitata;70.22.01
