CUP,CIG
B14D22000660006,9559436823
B14D22001100006,9383947609
B14D22001100006,93703376B5
B14D22001130006,9369591F14
B14D22001170006,94047526DD
B14D22001190006,9402248480
B14D22001190006,9383385642
B14D22001210006,ZB937A9733
B14D22001210006,9399196DE6
B14D22001220006,940389861F
B14D22001230006,9403816275
B14E11000130004,9432116C58
B14E11000130004,Z9438088B8
B14E11000130004,9047972EAF
B14E11000130004,9532665C01
B14E11000130004,Z61381043D
B14E19002390001,ZC22DCD723
B14E19002390001,8425980AA7
B14E20001670001,ZCB2DF58D4
B14E20001670001,843103562D
B14E20001690001,843472399B
B14E20001690001,889178551B
B14E20001690001,ZAB2E14925
B14E20001720005,91205178B8
B14E20004150004,9362700874
B14E20004150004,934693786A
B14E20004150004,93622873A4
B14E20004150004,9361139049
B14E21001740001,Z9B315D5C4
B14E21001740001,886749043D
B14E21001740001,Z7E355520B
B14E21002350001,9455741452
B14E21002350001,ZD73909C28
B14E21002380001,8737716F55
B14E21002390001,87384236C7
B14E21002800001,Z143848534
B14E21007520001,8897822AFD
B14E21007520001,8867812DF3
B14E21014580006,9425116BC3
B14E21014580006,9452504510
B14E21014580006,9424993644
B14E21014580006,9430572235
B14E22000020006,9119710EC1
B14E22000020006,9121921F54
B14E22000290001,ZF2360F885
B14E22000290001,9250243601
B14E22000310001,ZD9360FD8C
B14E22000310001,9255742FE9
B14E22000320001,92459016DF
B14E22000320001,ZCC360FDF7
B14E22000320001,Z453890B99
B14E22000680006,9348824D9C
B14E22000700006,9348824D9C
B14E22000750006,9334048C12
B14E22000760006,9334103976
B14E22000770006,9334048C12
B14E22000780006,93478688B3
B14E22000790006,9449344559
B14E22000800006,9399212B1B
B14E22000800006,9347534514
B14E22000810006,9348357C3B
B14E22000860006,9334048C12
B14E22000870006,9334117505
B14E22000880006,9334048C12
B14F22000220006,9388135615
B14F22000220006,9319984619
B14F22000220006,9178435C29
B14G20000180006,8903959369
B14H16001080006,9255563C33
B14H16001080006,87405512DD
B14H17000700006,865206778D
B14H17000700006,9524534619
B14H17000700006,ZCF38445DF
B14H17000700006,ZEE3873762
B14H17000700006,86980333E6
B14H17000700006,Z70385D6C5
B14H17000700006,869816834E
B14H17000700006,95002427B4
B14H17000700006,8651994B4E
B14H19000160003,8871324029
B14H19000190001,8437890F17
B14H20000110001,8437034CB3
B14H20000110001,Z772DCD87E
B14H20000290001,84286917D8
B14H20000290001,8389024999
B14H20000290001,8389010E0A
B14H20000300001,8389517072
B14H20001120001,Z46376F713
B14H20001120001,8780699E07
B14H20001120001,87807285F8
B14H20001120001,Z1035778D5
B14H20001120001,9353825C91
B14H20001120001,87511193DA
B14H20001130001,87919334A1
B14H20001130001,ZCE339A626
B14H20001130001,89239883DD
B14H20001130001,87920759CE
B14H20001130001,88428273B0
B14H20001140001,9509593C63
B14H20001140001,8731261084
B14H20001140001,Z8A33DF18E
B14H20001140001,90308762A2
B14H20001140001,911091226E
B14H20001140001,9147879C8D
B14H20001150001,93626932AF
B14H20001150001,936290841B
B14H20001150001,87935055E2
B14H20001150001,8900925BAA
B14H20001150001,8793461194
B14H20001150001,90876917D9
B14H20001160001,89839226F6
B14H20001160001,9117092E50
B14H20001160001,8836051BF2
B14H20001180001,9147892749
B14H20001180001,8907212FDB
B14H20001180001,8731634452
B14H20001180001,900877437C
B14H20001190001,909288888C
B14H20001190001,93425747F4
B14H20001200001,8870762062
B14H20001200001,88103388E9
B14H20001200001,885205420D
B14H20001200001,8810318868
B14H20001400001,8741772277
B14H20001400001,Z9C36258DC
